test-161680	What is an anxiety?
test-165302	Why cant someone stop thinking about you?
test-165303	How can I stop thinking about someone I shouldn't?
test-165304	GIS jobs and growth?
test-165305	Can you support lenovoa7000 jio sim?
test-165306	How do I lose 45 pounds the easiest way if I have cravings?
test-165307	What's the quickest way to lose weight?
test-165308	Would you consider deleting your Facebook account?
test-165309	What does it feel like to delete your Facebook account?
test-165310	How can I be perfect in English language?
test-165311	How can I improve my English Language?
test-165312	How do I prepare for SSC?
test-165313	How can I clear the SSC CGL tier-1 2016 within 2 months?
test-165314	How do I stop caring so much about what other people think of me?
test-165315	I have social anxiety and constantly feel like people are judging me. How can I truly stop caring what others think of me in order to be happy?
test-165316	Where can I download anime series?
test-165317	Where can I download anime series without torrents?
test-165318	The role of mass media?
test-165319	What is the mass media?
test-165320	Which Arduino board is best to purchase at a price less than 1000 rs?
test-165321	How can I improve the 10 bit ADC resolution of my Arduino Uno board?
test-165322	How can I contact banks to rent my shop for ATMs?
test-165323	How should I contact banks to rent out my property for ATM?
test-165324	What is the best payment gateway (digital wallet) in India to integrate with a mobile app?
test-165325	What is the best payment gateway for USA to India?
test-165326	How can I teach my 5-month-old baby boy to learn new skills faster?
test-165327	Why does my 3 month old baby drool so much?
test-165328	Why do I always feel like I'm not good enough as a partner to my SO?
test-165329	What do I say to my girlfriend if she feel like I'm not good enough to her as she is to me?
test-165330	How long are tea bags good for?
test-165331	How do you steep tea bags? What are some examples and how do you prepare tea?
test-165332	How to get admission in SRM University through management Quota 2016?
test-165333	How do I get admission in SRM University?
test-165334	What if Petyr Baelish had died before he was every able to frame Tyrion for the attempted murder of Bran?
test-165335	Basically I am an Mechanical engineering guys and my programming knowledge is zero, I wanted to be an web developer. What should I do?
test-165336	What should one know about T-Bills?
test-165337	What does delta-E represent in chemistry?
test-165338	Why do people need to believe in god?
test-165339	Why do people believe in God and how can they say he/she exists?
test-165340	How do you raise money from investors for a startup?
test-165341	How can a new startup raise seed funding from investors?
test-165342	How's the life of a GET, mechanical engineer at Godrej & Boyce?
test-165343	How is the life at Godrej & Boyce for a mechanical engineer?
test-165344	What are some reviews of the Razer Blackwidow keyboard?
test-165345	What are reviews for the Razer BlackWidow Tournament keyboard?
test-165346	How can I find Jaw Crusher Granite in Burkina Faso?
test-165347	How can I find a feldspar jaw crusher in my country?
test-165348	Question: How many doctors in California do house calls?
test-165349	How many doctors in California already perform house calls?
test-165350	What is the definition of the cell theory?
test-165351	What is stated in the cell theory?
test-165352	"Why is WinRAR's ""40-day trial"" unlimited?"
test-165353	How do I cancel my 14 day free trial on ancestry.com?
test-165354	Can I heat Nescafe's ready made Cold coffee (Tetra pack) and drink it as a Hot coffee?
test-165355	How do I not feel bad for asking people to help me in mental-health condition?
test-165356	How do international crude oil prices affect the petrol prices in India?
test-165357	What is the connection between the international crude oil prices and the petrol price hike in India?
test-165358	Is Chernobyl and Pripyat ever going to get rebuilt?
test-165359	How can you visit Pripyat?
test-165360	What is the most embarrassing moment of your life so far?
test-165361	What's the most embarrassing thing that has ever happened to you?
test-165362	How does alcoholism affect the brain?
test-165363	How does alcohol affect a developing brain?
test-165364	What is the leading dating site in the world?
test-165365	What is the most successful dating site in the world?
test-165366	How can I test someone's English proficiency in a minute with simple questions?
test-165367	Is there any English proficiency test in Wipro?
test-165368	How does high intelligence affect the prognosis of borderline PD?
test-165369	How do people get borderline PD?
test-165370	How much money does Bill Gates make per second?
test-165371	How much of Apple does Bill Gates own?
test-165372	Why do some atheists talk so much about these gods they don't believe in?
test-165373	Why don't atheists believe in any gods?
test-165374	Who was the first Robin Hood?
test-165375	What is the tale of Robin Hood?
test-165376	What does it mean when two people share the same dream?
test-165377	What's the meaning of a lady with two snakes being in my dream?
test-165378	How do I start a career as a business analyst?
test-165379	What's the best way to start a business analyst career?
test-165380	What is the pass mark in the first semester at WBUT?
test-165381	Barely passed my first year in first semester of med school. What should I do?
test-165382	What language do they speak in Belgium?
test-165383	What are the languages of Belgium?
test-165384	What can I do after graduated from digital media?
test-165385	Where and what do digital media students work/do after graduation?
test-165386	Does searching for air tickets in an incognito web browser prevent airfare search engines from increasing prices on flights that you search for often?
test-165387	Do air flight tickets reduce in price just before departure?
test-165388	"How do you respond to ""have a great day""?"
test-165389	What are some unique things that one can do when he wakes up in the morning that would make for a great day? (no boring answers like exercise etc)
test-165390	Should India remove the word secular from its constitution and designate itself as Hindu state?
test-165391	If I am a native Spanish speaker but know nothing of Italian, can I start reading a novel in that language and just looking up the words I don't get?
test-165392	Is physics math or science?
test-165393	Which is harder: math or physics?
test-165394	How can I earn money as a student in India?
test-165395	What are the easy ways to earn money online?
test-165396	How can you convert the string of any base to integer in JavaScript?
test-165397	How do you convert a string to uppercase in JavaScript?
test-165398	How do I add more details to the question asked?
test-165399	How do I add more details in my Quora question?
test-165400	What is the best way to earn money through online?
test-165401	What is the best source for online work to earn money?
test-165402	Is there any difference between a Narcissistic sociopath and a Covert narcissist?
test-165403	What is the difference between a Malignant Narcissist and a Covert Narcissist?
test-165404	What were the causes and effects of the Battle of Antietam?
test-165405	What is the significance of the Battle of Antietam?
test-165406	How can I update my Android KitKat 4.4.4 to Lollipop on mobile data?
test-165407	How do I upgrade from Android 4.4 to Lollipop?
test-165408	How can I use Codecademy to learn programming?
test-165409	Is Codecademy an effective way to learn how to program?
test-165410	Is Fatwa used in a bias way in the third world country like Bangladesh?
test-165411	How can I let go of my fears? Im 34 year old female that has lived an non- adventurous lifestyle. I didn't really party while growing up PLEASE HELP
test-165412	Which Muslim-majority countries are the most democratic?
test-165413	When did Malaysia became a Muslim majority country?
test-165414	I'm not well, and I'm afraid of what antidepressants will do to me, what can I expect?
test-165415	Does it sound like I'm afraid of dogs?
test-165416	How do I improve my memory and understanding skills?
test-165417	What can I do to increase my memory
test-165418	Does American military superiority make westerners arrogant towards other weaker nations?
test-165419	Why does Quora have a symbol count?
test-165420	What is the complete procedure of entering T3 from IGI Airport metro station?
test-165421	How much money did it take to make all 8 Harry Potter films?
test-165422	How many marks should I score in the AIIMS entrance to get a seat in AIIMS Delhi?
test-165423	How much marks should one score to get AIIMS colleges?
test-165424	What are its functions?
test-165425	What is axial force? What are its functions?
test-165426	How can I get Microsoft Excel to automatically move a row from one sheet in a workbook when a cell's value is changed to another sheet in the same workbook without resorting to copying and pasting?
test-165427	How can you copy a sheet to another workbook in Excel?
test-165428	Why don't some porn stars use condoms? Do they check for STDs before?
test-165429	Can you get STDs with using a condom too large?
test-165430	Should I take Mechatronics or mechanical in Manipal?
test-165431	Which one should I choose at Manipal: mechatronics or chemical?
test-165432	When will Tibet be part of India?
test-165433	Why isn't Tibet part of India?
test-165434	How much can one person deposit in his bank account with and without a PAN card?
test-165435	How do I write a letter for registering my PAN Card in my SBI bank account?
test-165436	What is the most important thing about a girl that makes guys love her?
test-165437	If a girl cries a lot because she is a little bit sensitive, what do guys think about her? Do they fall in love with her?
test-165438	What is the highest Snapchat score?
test-165439	Do pending messages on Snapchat increases score?
test-165440	Who does Michael Bloomberg support for president in the 2016 elections?
test-165441	Is Donald Trump likely to win the 2016 election (late 2015 / early 2016)?
test-165442	Why is my period a week early?
test-165443	What does it mean if you get your period a week early?
test-165444	What is the definition of nationalist loyalties?
test-165445	Why are people in India so Nationalist?
test-165446	How dangerous is Pine Hills, Orlando?
test-165447	Should I ride the bus in Orlando, FL or drive?
test-165448	What is the most embarrassing thing you found on someone's phone?
test-165449	What is the most embarrassing thing that happened to you in front of your boss?
test-165450	WWhat? Is candid infection
test-165451	What is Candida?
test-165452	Why does attachment with anyone or anything hurt so much?
test-165453	Why does attachment hurt so much?
test-165454	What are some mind-blowing Smartphone tools that exist that most people don't know about?
test-165455	What are some mind-blowing phones gadgets that exist that most people don't know about?
test-165456	What does it mean when a guy says he loves talking to you?
test-165457	What does it mean when a guy says he loves me but does not meet or talk much?
test-165458	How was your AIIMS 2016 result?
test-165459	What is Aiims 2016 result timing?
test-165460	Is watching porn wrong?
test-165461	Is making/viewing porn ethically/morally wrong?
test-165462	How can I become less anxious about the future?
test-165463	How can I become less anxious about my future and focus on the present?
test-165464	What is the physical meaning of orbital eccentricity?
test-165465	Are there any objects with an orbital eccentricity of 0 or 1?
test-165466	Is there any real-world basis behind the silent caterpillar drives featured in The Hunt for Red October?
test-165467	Would Red October's maneuver of turning into the torpedo actually work?
test-165468	Why is there such a strong gym culture in Brazil?
test-165469	What are CPMs in Brazil?
test-165470	What is the quickest way to boil potatoes?
test-165471	How can I boil potatoes using a microwave?
test-165472	What are some of the best architecture colleges in india?
test-165473	Which is the best architectural college in India?
test-165474	How do I fix Windows 10 Wi-Fi disconnecting issue?
test-165475	Is it safe to use Wi-Fi Sense in Windows 10?
test-165476	From where should I start IAS exam preparations?
test-165477	How should one start preparing for IAS exam?
test-165478	Is it possible to get fast streaming speed on a VPN connection?
test-165479	With which VPN I can get less than 50MS of latency and speed up to 1000mbps?
test-165480	Index sites for tv shows?
test-165481	I'm electrical communication engineer, what fields in which I can do m.tech?
test-165482	Why do you need product photography in Delhi?
test-165483	Do you want product photography in Delhi?
test-165484	What is the Lewis structure of PBR3? How is it determined?
test-165485	What is the Lewis Structure for IF2? How is it determined?
test-165486	Which is the highest post that can be gained by a SSC stenographer (group C)?
test-165487	What is the skill test for SSC stenographer? What is shorthand typing?
test-165488	How do I know if my partner is faithful or cheating?
test-165489	How do I know my partner is cheating on me?
test-165490	Are kinetic energy and momentum vectors or scalars?
test-165491	How can a wall have a momentum but no kinetic energy when a tennisball is thrown at it?
test-165492	How do you invest in stocks as a teenager?
test-165493	How can I invest in stocks?
test-165494	Which one's the best electronic cigarette available in India (precisely in Bangalore rather)?
test-165495	What is the best electronic cigarette wholesaler in China?
test-165496	Is the concept of rugged individualism dead in the US?
test-165497	What is the most deadly religion?
test-165498	Where can I find small sized movies with good quality?
test-165499	What are some good comedies?
test-165500	How much money per hour do Uber drivers make in Philadelphia? What's the most a person can reasonably make per month?
test-165501	How much money per hour do Uber drivers make in Chicago? What's the most a person can reasonably make per month?
test-165502	What are some crazy stories about Prince?
test-165503	What are your favorite stories about Prince?
test-165504	What is baking salt?
test-165505	What is salt?
test-165506	How are the placements in Symbiosis Institute of Managment Studies Pune for defence personnel dependents and what is the cut off percentile in the SNAP exam for that?
test-165507	What is the level of entrance exam for B.B.A in Symbiosis Pune?
test-165508	What causes a headache on the right side of the head above the ear?
test-165509	How can I treat a pain on the left side of my head above my ear?
test-165510	How do I get good marks in class 12 CBSE Practical?
test-165511	How do I prepare for Practicals & Viva Class 12 CBSE from a Dummy School?
test-165512	How do I use a 110v appliance in a 220v outlet?
test-165513	Why is electricity in the USA 110v when the rest of world uses 230v?
test-165514	Do you think Jose Mourinho is the best man for Manchester United?
test-165515	How would Jose Mourinho change Manchester United?
test-165516	"How is "" Byju's Classes "" coaching (Tablet & regular classes) for the UPSC / IAS exam?"
test-165517	How do I change classes in Byju's Tablet app?
test-165518	Do cows really exhale oxygen?
test-165519	What is pure oxygen?
test-165520	What’s the CTC which is offered by Paytm to software engineers?
test-165521	Is there any B.A course in bits Hyderabad, because there is department of social science and humanities in the website.?
test-165522	What are the best torrent sites for ebooks downloading?
test-165523	Which is the best torrent site to download Hindi movies?
test-165524	Why don't protons in a nucleus repel each other?
test-165525	Why don't all atoms have an equal number of protons and electrons?
test-165526	Which lens will be best for my Nikon D3300?
test-165527	"Which lens is best to shoot ""Bokeh"" from Nikon D3300?"
test-165528	What are various online sources available to watch all the episodes of Silicon Valley?
test-165529	Is Silicon Valley worth watching?
test-165530	Which cities are the best to visit in Belgium?
test-165531	What is the best U.S city to visit during July?
test-165532	What are the startup business ideas with 0 Rs. investment in India?
test-165533	Due to the shutdown of torrentz, what are some other options to download the movies?
test-165534	How many fights did Muhammad Ali lose during his professional career?
test-165535	Was Muhammad Ali sick when he lose to Berick?
test-165536	What are some Swachh Bharat Swasth Bharat slogans?
test-165537	What is your take on Swachh Bharat Abhiyan?
test-165538	What is the best way to reduce body weight?
test-165539	Which is the easiest way to loose weight?
test-165540	"What does the term ""leathery face"" mean?"
test-165541	What is the story of matrix all the three versions?
test-165542	How is the experience of studying electrical engineering?
test-165543	How can I study electrical engineering efficiently?
test-165544	What is the best used station wagon under the $5k price range?
test-165545	Why are station wagons called that?
test-165546	Is gymnastics a feminine sport?
test-165547	Why is gymnastics considered effeminate?
test-165548	Can Britons who are unhappy at the UK for leaving the EU emigrate to an EU member state?
test-165549	What is the difference between homogeneity and stationarity in time series?
test-165550	Should I get 16GB or 64GB on the Motorola g4 plus?
test-165551	Its my final year of under graduation in Mechanical engineering. I want to pursue Masters in engineering from Germany. How to achieve this this?
test-165552	What have you regretted the most in your life?
test-165553	What's the most regretting moment of your life?
test-165554	What do you consider more sensitive: Your medical data, or your financial data? Why?
test-165555	After studying MCSE 2012 what should I study afterwards? What would be the qualification with the most impact towards furthering my career thereafter?
test-165556	Which yogas (planetary combinations) in a horoscope cause early death?
test-165557	Which planetary combinations indicate 2nd marriage?
test-165558	What is the best order to read the Ender saga in?
test-165559	"How does the ""Ender's Game"" film compare to the book?"
test-165560	Where can I get authentic Mysore Pak in Mumbai?
test-165561	Which exams a B.sc (Physics) can give?
test-165562	What is currency basket?
test-165563	What is currency hedging?
test-165564	How much weight can one lose in ome month?
test-165565	How will I lose weight in 1 month?
test-165566	What are some things new employees should know going into their first day at OshKosh?
test-165567	What are some things new employees should know going into their first day at AT&T?
test-165568	Who is Airbnb's biggest competition?
test-165569	How can two Airbnb users become friends on Airbnb?
test-165570	What is it like to live in Staten Island, NY?
test-165571	How is tax if you live in NJ but work in NY?
test-165572	What is the male and female ratio ?
test-165573	What is the male to female ratio in Mumbai?
test-165574	Is really India independent?
test-165575	Is India really an independent country?
test-165576	I've been dating a guy for almost 4 months now. When I asked him about his feelings, he said he likes me and attracted to me but doesn't feel in love which I understand because it is too early. Should I move on?
test-165577	I love my best friend but I can't tell him because I'm afraid of unrequited love. I've been into a serious relationship before and have moved on. Is it enough for me to confess my feelings for him? How do I tell him that I seriously liked him since seventh grade until now?
test-165578	How do I tell if I am naturally talented in art?
test-165579	Which art doesn't need any talent?
test-165580	How long will it take me to be proficient (B2) in Japanese using Rosetta Stone ~30 minutes daily?
test-165581	How long does it take to learn a language with Rosetta Stone?
test-165582	What are examples of mixtures found in the household?
test-165583	Is there an example of a mixture where the concentration of the solvent is less than the solute?
test-165584	How long after applying for a position at Google should one expect to hear the outcome of their application?
test-165585	When can I expect to hear back from Google when I had an interview one week ago?
test-165586	I have been working in a company over a year and have gained good experience only with the help of a colleague. He plans to leave the office soon and now I feel handicapped. What should I do?
test-165587	I'm in my third year of engineering. What should I do now that would help me get placed in a good company? I haven't started working on anything yet.
test-165588	"What is the meaning of ""incorporation""?"
test-165589	"What is the meaning of ""total incorporation""?"
test-165590	What is the way to get a job in Bangalore after completing ca final in 4th attempt?
test-165591	Why did DAV College Chandigarh ask for character certificate in original?
test-165592	How is the iPhone 6 4.7?
test-165593	How do you like your iPhone 6+?
test-165594	How do I cure a mouth ulcer within one night?
test-165595	Can you get syphilis ulcers in the throat?
test-165596	Where can I find tutorials on the pythagorean theorem?
test-165597	What is the Pythagorean theorem?
test-165598	Is dark blood healthy?
test-165599	Is drinking blood healthy?
test-165600	What is the difference between Mrs., Ms., and Miss?
test-165601	What is the difference between Ms. and Miss?
test-165602	How to open Gmail account without password?
test-165603	How do I get my password for my gmail account?
test-165604	What is Slump test?
test-165605	Why do many people mistype O as 0?
test-165606	What are the best tools to analyse and or manage call center operations?
test-165607	What are the best tools to manage or analyse call center operations?
test-165608	Why are people surprised that Rey could be a Skywalker?
test-165609	What does “community-powered” mean in Flatiron School’s Community-Powered Bootcamp?
test-165610	What is the best self-improvement book that you have read and why?
test-165611	What's the best self help/ self improvement book you've read and why?
test-165612	What was it like to completely swallow cum from a guy for the first time?
test-165613	If you swallow a lot of cum in one day, can that make you sick?
test-165614	Most of us are never going to be famous. I'm miserable with this realization. What is the alternative to fame?
test-165615	When I interact with most people I am being astounded by their ignorance, but when I reflect on this I can imagine many persons who are intelligent and really smart think in the same way about me too. Nobody is going to vocalize their feelings. This bothers me a bit. Is anybody feeling the same like me?
test-165616	Which is better: Harvard or MIT?
test-165617	What are the advantages of choosing Harvard over MIT/Caltech for physics or mathematics?
test-165618	What are the best popular science books?
test-165619	What is the best science book for the layman?
test-165620	Do people really care about the privacy of their Facebook content?
test-165621	Why is privacy important to people?
test-165622	What are some of the best topics for a paper presentation on electronics?
test-165623	What are some of the best topics for paper presentation?
test-165624	How much would my A3 graphite drawing cost if I wanted to sell it?
test-165625	I have some drawings that I have done. I have drawn a horse and hands. I shaded them by dots using a fineliner pen. I am wanting to sell these drawings. For how much can I sell them?
test-165626	What's saddens you the most about India?
test-165627	What does not make you sad about India?
test-165628	Are piercings safe?
test-165629	Are ear pierce guns safe?
test-165630	How come 10/10 signifies perfect?
test-165631	Can 10 be divided by 3 perfectly?
test-165632	SEARCH STRINF FOR Recruiter / Office Administrator?
test-165633	Compare India's growth pattern with that of other developing and developed countries?
test-165634	How can I install Qt 5 in Fedora Linux?
test-165635	What does Qt 5 use for font rendering?
test-165636	What is the best route from Bangalore to Goa by car?
test-165637	Which is the best route to Goa from Bangalore, through Karvar or through Hubli?
test-165638	Between Asus Zenfone Max and Redmi Note 3, which one should I opt for?
test-165639	Which one is a better buy, Xiaomi Redmi 1s or Asus Zenfone 4.5 (A450CG)?
test-165640	Do most women like oral sex?
test-165641	Do all women like oral sex?
test-165642	Which is the best movie of history?
test-165643	Which is best movie in history?
test-165644	When will Pokémon GO release in the US?
test-165645	When will Pokémon GO be released?
test-165646	What is the difference between a government school and a private school in India?
test-165647	How many group schools i.e. private school chains are there in India?
test-165648	What are some jokes involving sleep?
test-165649	What are some jokes involving love?
test-165650	How can I get into law school?
test-165651	How do you get into law school?
test-165652	Is it easy to get a job in Australia after a master's degree?
test-165653	Jobs and Careers: What are the Job career after marketing degree from Australia?
test-165654	Why does the glass roof at the Chennai airport frequently collapse?
test-165655	What is frequent use of RV roof sealant and the recommendation of experts?
test-165656	What does an email address with .de at the end mean?
test-165657	Why do we use @ for email addresses?
test-165658	Why does Quora only allow me to a2a only 15 people on each question?
test-165659	Why does Quora allow only 15 answer requests?
test-165660	Who is Katy Perry?
test-165661	Why is Katy Perry so popular?
test-165662	What is the word used for welcome, in response to thank you, in Hindi?
test-165663	What are the best swear words in Hindi?
test-165664	Why do some Chinese people have curly hair?
test-165665	Why don't Chinese people usually have curly hair?
test-165666	What are some ideas for starting a brand new career at 40 years old?
test-165667	What's a good trade for a 40 year old male to start learning?
test-165668	Who need friends? Why?
test-165669	Why do we need friends?
test-165670	Why do people understand only half of the things and make impressions? Is it just in India or everywhere else too?
test-165671	What is in Bertucci's dipping oil recipe?
test-165672	What is the meaning of life?
test-165673	How do you find your life's purpose?
test-165674	What are examples of bad luck?
test-165675	What are some examples of things you can do that are considered to be of bad luck?
test-165676	How do I find a girl whether she loves me or not?
test-165677	How do I know that she actually loves you?
test-165678	Which one should I use: had gone or went?
test-165679	"Is the use of ""had had"" proper?"
test-165680	How can an engineer graduate join the Indian Air Force entering into the flying branch?
test-165681	How can I join indian air force or indian Navy after completing engineering?
test-165682	Road Trips: Which one is more comfortable for long rides: the Gixxer SF or the Yamaha FZ-S V2.0?
test-165683	Which bike company has more standards, Yamaha or Honda? Which bike is more preferable, the Unicorn 160, the Gixxer, or the FZ 2.0, in terms of all aspects?
test-165684	What were the first digital agencies?
test-165685	What is digital agency?
test-165686	What are the best books on capital budgeting?
test-165687	What are the limitations of capital budgeting? What are some examples?
test-165688	Where can I download free ebooks on psychology?
test-165689	Where can I ask for donations for a personal cause?
test-165690	What type of mental issue is it when someone has difficulty looking at someone's face during conversation?
test-165691	How do you explain API, Formulations, OTC drugs, Generics, Branded Generics, Patented in layman terms?
test-165692	Why would a guy seem to avoid me?
test-165693	Why does this girl avoid me?
test-165694	How do start business?
test-165695	How do we extract salmon sperm for DNA plasmid transformation into yeast?
test-165696	How good is professor Sanjoy Datta of physics department at NIT Rourkela?
test-165697	I cant make my messenger Bot live?
test-165698	How do sites like PutLocker work?
test-165699	Is PUTLOCKER a legitimate website?
test-165700	How can find my purpose in life?
test-165701	How do I find the purpose of a life?
test-165702	How does one learn artificial intelligence programming?
test-165703	What is the best way to learn Artificial Intelligence for a beginner?
test-165704	Do Americans really give support to the government about what is happening in South China Sea?
test-165705	What do folks think about this cat and mouse game in the South China Sea? Where is this all going?
test-165706	How can I live life fully?
test-165707	Which is the best way of living life?
test-165708	What will be the long term impact of demonetization of rs 500 and rs 1000 notes?
test-165709	What can be affected for the scrapping Rs. 500 and Rs. 1000 currency notes?
test-165710	How can the process of natural selection be explained?
test-165711	Evolution (process): How does natural selection work?
test-165712	What is the derivative of [math] x^i ?[/math]
test-165713	What is d/dx (√x) =?
test-165714	Why is LinkedList faster than ArrayList? How else do they compare?
test-165715	What is the difference between vector and arraylist?
test-165716	Can the string of an ideal pendulum be created by photons?
test-165717	Can a socially awkward, introverted, shy person be a good at entrepreneurial management or as an HR?
test-165718	"What is the exposition in ""Romeo and Juliet""?"
test-165719	What are some allusions in Romeo and Juliet?
test-165720	What do you do when your max lvl in World of Warcraft? Other than Raiding and Rated PvP?
test-165721	Will Indian Equities (stock market) and mutual Fund good an unprecedented boost due to scrapping of old currency notes of Rs 500 and Rs 1000?
test-165722	Quackery: Dr. Leonard Coldwell is said to have cured 35,000 cancer patients in Europe, without traditional medicine. Who can testify to this, based on first hand information?
test-165723	Does eastern medicine (Chinese) work to cure cancers?
test-165724	Does the iPhone 6 support OTG?
test-165725	Can the HTC Desire 820s supports an OTG cable?
test-165726	How do I join NASA?
test-165727	How can I work for nasa?
test-165728	Who are some pianists similar to Ludovico Einaudi?
test-165729	How did you feel after listening to Primavera by Ludovico Einaudi?
test-165730	What are questions that 5-year-olds ask?
test-165731	What advice would you give to your 5-year-old self?
test-165732	How difficult is it to transfer to the UCs for undergrad from a CA community college?
test-165733	What kind of grades do I need to transfer from community to a UC?
test-165734	When China becomes the most powerful country in the world, how will it treat Vietnam and the Philippines?
test-165735	What will happen when China becomes the most powerful country?
test-165736	How exactly does a computer program work?
test-165737	How can I make my new ASUS laptop fan less noisy?
test-165738	What should i study for master's degree?
test-165739	Why should I go for a master's degree?
test-165740	Worst birthday you have experienced in your life. Was it something you got or something that happened?
test-165741	What has been your worst birthday experience?
test-165742	Can I use Machine Learning algorithm to rank search result when using ElasticSearch?
test-165743	How can I learn which algorithms are used by Google search?
test-165744	How do I message someone on Instagram?
test-165745	I accidentally declined someone's DM request on Instagram. It says they won't be able to message me. How can I undo this so they can message me?
test-165746	How was your AIIMS 2016 entrance exam?
test-165747	Is the AIIMS UG entrance exam happening this year (2016)?
test-165748	What are some words in English that are simple for English learners to pronounce?
test-165749	What are some of the hardest words to pronounce in English?
test-165750	What was the 2015 cutoff for CSE in RVCE through COMEDK?
test-165751	How much should I score in the COMEDK to join the RVCE for CSE?
test-165752	What is it like to hire the services of a male escort?
test-165753	What is it like for a guy to have sex for the first time?
test-165754	What is it like to be a teenager in New York City?
test-165755	What is It like to be poor in New York City?
test-165756	How do I recover a years old gmail account?
test-165757	How can I recover my Gmail password without a recovery phone number or email?
test-165758	What is better, a coil built with smaller diameter or bigger, thicker gauge or thinner gauge and more coils or less coils? For cloudchasing
test-165759	What is RDA?
test-165760	What individuals and events in history are a source of pride for Uruguay?
test-165761	What individuals and events in history are a source of pride for Iran?
test-165762	What are some rare stories about Lord Hanuman?
test-165763	What are some of the interesting stories about Lord Rama and Lord Hanuman?
test-165764	What is Alia Bhatt’s role in the movie “Udta Punjab”?
test-165765	What does the ending of Udta Punjab mean?
test-165766	Why would a Christian support Donald Trump? Trump's statements don't represent the principles Jesus stood up for.
test-165767	Why would a Christian support Donald Trump?
test-165768	Does applying early to a university enhance your chances of admission?
test-165769	Does applying early decision to a university help? If so, why?
test-165770	What is it like to live in Baja California?
test-165771	Which is a better state to live in, Florida or California?
test-165772	How do I iron men's shirts quickly and properly?
test-165773	Is it ok to wear mini jeans skirts with leggings in India?
test-165774	Does high frequency always mean shorter wavelength? Or can long wavelength have high frequency?
test-165775	Will HTC 828 get Android OS 6?
test-165776	What are some things you should do before turning 20? Why?
test-165777	What are 10 things that you should definitely do before turning 30?
test-165778	How can I become a pornstar in India?
test-165779	What is the average salary of a sound engineer in India?
test-165780	What strikes first time visitors as special or unusual when they arrive in Machida, Japan?
test-165781	Can me and my girl do a 69?
test-165782	How can I get accepted for a PhD in CS at a UK university?
test-165783	How do I do an opt in when someone visits my site, and send out email marketing campaigns? How does it work?
test-165784	If time travel becomes possible in near future then where are the travellers from future?
test-165785	Is it possible to time travel to past?
test-165786	If I were to start reading comic books, where would be a good place to start?
test-165787	My 8 year old daughter is not a fan of reading and no matter how much my husband and I try, she refuses to read. How do I get her to read?
test-165788	Why does the feeling of weightless occur in an elevator?
test-165789	Why do we feel weightless in an elevator? How does this feeling happen?
test-165790	How do you make brown gravy with flour and water?
test-165791	How do you make gravy with flour and water?
test-165792	What are some interesting facts about web browsers?
test-165793	What are some of the most mind-blowing facts about the United States?
test-165794	What is the difference between the right wing and the left wing?
test-165795	What is the difference between the left wing and the right wing? What is the difference on a basic level & on a hardcore politician level?
test-165796	What is a good tablet for me?
test-165797	What are the best tablets for reading?
test-165798	20% of 900 is what percent of 720?
test-165799	What if pf money is not credited but claim status is credited?
test-165800	What is the best car GPS device for India?
test-165801	Which is the best GPS device vendor for vehicle tracking in India?
test-165802	Which is best engineering college in Punjab and Haryana?
test-165803	Which is the best engineering college in Punjab?
test-165804	How can I improve my decision making skill?
test-165805	How do I improve decision making power?
test-165806	How do you talk to your partner about your parents?
test-165807	How often do you talk to your parents?
test-165808	Hypothyroidism: Is it a serious problem if I have normal t3 and t4 thyroid hormones but a high TSH level (7.02)?
test-165809	Can I fly with a hypothyroid s-TSH level 15?
test-165810	Most important books for IAS Mains?
test-165811	"""He had been something of a catch for Stovington"" what does this mean?"
test-165812	What mental illness is characterized by mood shifts minute to minute?
test-165813	Is anyone actually mentally ill?
test-165814	Is this circuit helpful in induction heating? Why I am  not getting the output exactly?
test-165815	Do I have to follow the PCB RF design guide lines if only the output of the circuit is RF?
test-165816	How do we have to 'earn' Coldplay tickets of 19th November, Mumbai concert through Global Citizen India?
test-165817	What are all the real benefits of demonetisation to common man?
test-165818	How to get admission in Hbti Kanpur in 2017?
test-165819	When will Hbti Kanpur get the status of HBNIT Kanpur?
test-165820	Which is the best platform for software development?
test-165821	Being a software developer, which is your best software/app for any platform?
test-165822	What is the difference between broadcasting and multicasting?
test-165823	What is the difference between a broadcast address and default gateway?
test-165824	How many calories do we burn walking 1 km?
test-165825	How many kilometres do I have to walk to burn 3000 calories in a day?
test-165826	What does Islam say about slavery?
test-165827	What does Islam say about the apostasy?
test-165828	How do I find a vector perpendicular to another vector?
test-165829	What are perpendicular vectors? How do you find them?
test-165830	Which complier is best for Atmega16?
test-165831	Which complier is being implemented on cloud and which are not?
test-165832	Why do we hear a hissing sound when we put our hands around our ears?
test-165833	What is that sound we hear when we close our ears?
test-165834	What is one incident that changed your life?
test-165835	What is the most important incident in your life that changed you?
test-165836	Why should I go to med school?
test-165837	Is it possible to go to med school for me?
test-165838	How does riffstation find the chords of a song?
test-165839	How do I make chords of a songs?
test-165840	How do I kill myself in the least painful way?
test-165841	What are the most brutal, painful and violent ways to die?
test-165842	How should entrepreneurs keep themselves motivated during their startup journey?
test-165843	How do entrepreneurs keep themselves motivated?
test-165844	Is it possible to time travel in the distant future?
test-165845	Is time travel possible? If yes how
test-165846	What are the results ascribed to the Sun as the Varsheshwara (year lord) in Vedic astrology?
